,price,average_playtime_forever,pct_pos_total
price,1.0,0.007625178988195915,0.05342436820627212
average_playtime_forever,0.007625178988195915,1.0,0.013515672249981594
pct_pos_total,0.05342436820627212,0.013515672249981594,1.0
